names,emotions,subtitles,reasons
sample_00006114,担忧,妈，你说的我都明白，可是我这心里，老放不下。,在视频中，他心里放不下一些事情，显得有些担忧。说话语速缓慢，声音低沉，时常叹气，低头，皱眉，眼圈微红。因此，推测他的情感状态为担忧。
sample_00006294,高兴,谢谢！我，其实，也早就知道，你跟果然的关系了。,在视频中，通过”谢谢“表达了他非常感激对方。他早已知道对方和果然的关系，说话断断续续，显得有些羞涩。他嘴角上扬，露出牙齿和酒窝，看起来挺高兴的。因此，推测他的情感状态为感激、羞涩、高兴。
sample_00006710,高兴,谢谢干妈夸奖，你等我的好消息吧。,在视频中，他因受到干妈的夸奖而高兴。他说话声音欢快，嘴角上扬，因此推测他的情感状态为高兴。
sample_00006748,生气,好，好，我的感受：我很开心，我很高兴，我很高兴你满意了吗？,在视频中，通过反问“你满意了吗？”表达了他的不满和生气。他说话语速快，语气激动，声音颤抖，有些结巴，眉头紧锁。因此，推测他的情感状态为生气。
sample_00005854,生气,那么多混蛋老大你不选，偏选达哥？,在视频中，他表达了对某人的选择感到生气。他的语速较快，音量较高，言语比较激动，眉头紧锁，表现的很激动。因此，推测他的情感状态为生气。
sample_00003358,悲伤,也没什么关系了，以后呢。,在视频中，他声音低沉，有气无力，有些哽咽，语速较慢，中间停顿较长，微微皱着眉头。因此推测他的情感状态为悲伤。
sample_00005933,高兴,你看看你。,在视频中，他发出了笑声，嘴角上扬，眉毛抬起。因此推测他的情感状态为高兴。
sample_00000613,生气,朋友，谈感情是吗？,在视频中，他通过反问“朋友？”，推测他的朋友可能之前做了一些对不起他的事情，让他非常生气。同时，他眉头紧锁，感觉情感比较负面。因此，推测他的情感状态为生气。
sample_00001832,担忧,最好还是跟曾主任说一声，万一他要是找你。,在视频中，他担忧对方不和曾主任提前沟通，可能会产生不好后果。他在说“万一”的时候通过加重语气特意强调。因此，推测他的情感状态为担忧。
sample_00001178,生气,曹小强，我警告你，你如果再敢纠缠我们家微澜，我真跟你没完。,在视频中，他对曹小强纠缠微澜的行为十分不满，以致对其发出了最后通牒。他言语激动，音量很高，都有些破音，甚至由于生气导致声音有些颤抖，语速较快。他的表情非常激动，眉头紧锁，眼睛瞪得很大，面目比较狰狞。因此，推测他的情感状态为生气。
sample_00002571,惊讶,他还活着啊，啊。,在视频中，他因为得知某人还活着而感到十分意外和惊喜。他的语速变快，语调突然抬高，露出笑容，表明情感是偏正向的。因此，推测他的情感状态为惊讶和高兴。
sample_00006664,担忧,你最好不要知道这件事情，可现在你知道了，你不会怪我没告诉你吧。,在视频中，他担心对方会因为自己没有告诉她某件事情而和自己生气。同时，他也担心对方知道了最好不要知道的东西而感到担忧。他低头看向对方，有些许抱歉。因此，推测他的情感状态为担忧、抱歉。
sample_00002730,担忧,好。,在视频中，他长叹一口气，眼神有些迷离，可能电话那头跟他说了什么不好的事情。因此，推测他的情感状态为担忧。
sample_00006774,担忧,有，我想一定会有好的办法。,在视频中，从“我想一定会有好的办法”中可以看出，他面临的问题比较棘手，正在寻找解决方法。他叹了口气，眉头紧皱，眼睛不停转动，可能在思考着解决办法，并表现出一定的担忧。因此，推测他的情感状态为担忧。
sample_00002785,高兴,哼。,在视频中，他发出笑声，嘴角上扬，眉毛抬起。因此推测他的情感状态为高兴。
sample_00001110,高兴,大家可以边吃边聊。,在视频中，他语调上扬，嘴角上扬，眉毛抬起，笑得很开心。因此，推测他的情感状态为高兴。
sample_00006433,担忧,我们这一批进公司的呀，都是什么名校毕业，我真怕像我这种，排不上号学校出来的，回头再给淘汰出去。,在视频中，他担心自己因为不是名牌学校出身而被公司开除。此外，在视频中部，他有些许低头往下看，表现出他的不自信和不安。因此，推测他的情感状态为担忧、不自信、不安。
sample_00002956,生气,本来一件旗袍，小事一桩，没必要跟你争，但是我就看不惯你种假模假式的人。,在视频中，他表达了对对方虚伪行为的不满。因此，推测他的情感状态为生气。
sample_00006957,生气,我得批评你啊。不管怎么说，王老师是你老师，你怎么和王老师说话呢？,在视频中，他对对方不尊重王老师的行为感到不满和生气，并正在批评对方。视频后端抬高了音量，语速也加快了。因此，推测他的情感状态为生气。
sample_00005637,担忧,那个，大夫，这个我妈身体也不好，她也照顾不了我爸。我这两天实在是太忙了，我们有一个国际招标。,在视频中，他叹了口气，说话吞吞吐吐，表达了对父母身体健康状况的担忧，同时也为自己因工作忙碌无法照顾父母感到无奈和内疚。因此，推测他的情感状态为担忧、无奈、内疚。
sample_00004256,高兴,没事没事，健康着呢。,在视频中，他对自己的身体状态表现得比较满意。他的语调上扬，嘴角上扬，眉毛抬起，露出笑容。因此推测他的情感状态为高兴。
sample_00004297,高兴,太夸张啦！看来呢，我得在暑假之前，赶紧把剧本改完，好好地给你补补课。,在视频中，从他说“太夸张啦！”可以看出他非常惊讶。此外，他语调上扬，嘴角上扬，笑的时候出现酒窝，看起来有些高兴。因此推测他的情感状态为高兴和惊讶。
sample_00001421,生气,不要跟我扯上关系，我没有外公，也不需要他的礼物。,在视频中，他通过“不要跟我扯上关系，我没有外公，也不需要他的礼物”表达了对外公的不满，反映出他们之间的紧张关系。他板着脸，背对着对方说话，不想理会对方。因此，推测他的情感状态为生气。
sample_00003605,生气,别问为什么，想不想吃板鸭？,在视频中，他对对方的问题感到有些不高兴，可能是因为对方问了一些敏感的问题。他的语速较快，微微皱眉。因此，推测他的情感状态为生气。
sample_00006198,生气,你真傻假傻呀，我在乎花这个钱吗？我那也就是气话。,在视频中，虽然他面带笑容，但是他质问对方：“你真傻假傻呀？”表达他对对方装傻的行为表现出不满和生气。因此推测他的情感状态为生气。
sample_00001468,生气,你知道你就不会跟他走，是我昨天问你的，你觉得九天他怎么样？是你跟我说，你觉得他有神经病。,在视频中，一开始语气较为平稳，视频后端抬高了音量，语速也加快，开始抑制不住生气和激动。结合“是你跟我说，你觉得他有神经病！”可以推测，他对对方的言论对自己产生了某种误导，让他做出了错误的行为，表达了些许埋怨。因此，推测他的情感状态为生气、埋怨、激动。
sample_00002991,悲伤,我不想见他。,在视频中，他一开始瞪大眼睛看向对方。随后，他眼神躲闪，并转过头不想直视对方。结合“我不想见到他”，可以推测他的情感状态比较负面。
sample_00000393,生气,是不是蔡微澜的电话？三更半夜去找他干什么？,在视频中，他对对方深夜找蔡微澜这一行为感到不满，可能认为对方是在骚扰蔡微澜。他的言语比较激动，语速较快，音量较高，眉头紧锁，表情也比较激动。因此推测他的情感状态为生气。
sample_00001152,高兴,啊，那没事买个房，没事再买个车，最后绕地球绕一圈，最后就上月球了。,在视频中，他说：“最后绕地球绕一圈，最后就上月球了”，表现出一种幽默感。他的声音轻快，语调上扬。他的嘴角上扬，眉毛抬起，笑得很开心，头部运动明显。结合环境是在餐馆，可以推测出他是在吃饭时开心地闲聊。因此，推测他的情感状态为高兴。
sample_00003367,生气,我就胡闹了，你不是老说我胆小怕犯错误吗？我就犯一次错误。,视频中的小女孩似乎在跟别人耍脾气，有些激动和不服。通过“我就胡闹了”，表达了一种跟对方较劲的状态。她的语速较快，后面抬高了音量，显得有些激动。因此，推测她的情感状态为生气。
sample_00004810,担忧,行了，你别渗着了，赶紧回去歇着吧。,在视频中，通过“赶紧回去歇着。”表达了对对方身体状况的担忧和关心。从视频中的环境可以看出，他此时正在忙着，但他也不忘在忙的间隙找机会与对方说话，也表现出对对方的关心和担忧。因此，推测他的情感状态为担忧、关心。
sample_00000070,悲伤,难道你没有结过婚？,在视频中，通过反问句式“难道你没有结过婚？”，并结合他的声音低沉无力，语速较慢，画面整体为暗调色，眼眶些许湿润，可以推测出他可能是因为感情问题而感到难过和悲伤。因此推测他的情感状态为悲伤。
sample_00001755,生气,我们说王建国，你什么都没带，傻了吧？没地方坐了吧。,在视频中，他对王建国的行为感到很离谱和荒谬。他语速较快，言语比较激动，身体摇晃明显，肢体动作丰富，手上下挥舞，可以看出他比较激动。
sample_00002504,高兴,找不到了吧。,在视频中，他嘴角上扬，露出了酒窝，并歪着脑袋，结合“找不到了吧？”表现出些许得意和高兴。因此，推测他的情感状态为得意、高兴。
sample_00005769,担忧,姐，你千万别这么说，你既善良又明事理。,在视频中，他想要安慰对方，对姐姐说的话表现出有些担心。因此，推测他的情感状态为担忧。
sample_00006042,高兴,好好好去玩，我早就跟你说过吧。,在视频中，由于连续三个“好”，可以推测他对出去玩这件事很赞同，表现的比较高兴。他笑的露出牙齿，有明显的酒窝，笑得要岔气了，并因此吸了一口气，语速较快，语调上扬，可以推测出兴奋和高兴。因此，推测他的情感状态为赞同、高兴、兴奋。
sample_00006009,高兴,老公，把我今天晚上订的新款内衣带回来了没有？我就要！我就是要让你那女秘书看，你每周都送我好看的内衣！气死她！那我以后也不再去打网球了。,在视频中，他称呼对方为“老公”，显得非常亲昵，同时有撒娇的意味，可以推测出他比较开心。他的语气温柔妩媚，语速缓慢，中间穿插轻微的笑声。他的嘴角上扬，说话间微微挑眉，时而嘟嘴低头，显得有点娇羞。因此，推测他的情感状态为开心。
sample_00002676,高兴,向往天上人间，所谓的生活,在视频中，他在发出美好的畅想。他说话间将头偏向一边，眼睛也斜望着，好像真的在畅想着美妙的事物。因此，推测他的情感状态为期待和高兴。
sample_00002021,高兴,,在视频中，他发出了笑声，身体笑地明显抖动。他的嘴角上扬，露出牙齿，眼睛弯成月牙状，笑的时候出现酒窝。因此，推测他的情感状态为高兴。
sample_00004242,高兴,你找我。,他说话时轻轻挑眉，双眼望向对方，嘴角微微露出微笑，有些许高兴。因此，推测他的情感状态为高兴。
sample_00004025,生气,我告诉你，这个婚，我绝对不会离，我死了也不会离。,在视频中，他表达了他坚决不想要离婚，对对方想要离婚而感到非常愤怒。他的语速较快，音量较高，语气很重，比较激动，声音有撕裂感。表情非常激动，眉头紧锁，每次说话头和身体上下摆动，可以看出他的情绪比较激动。因此，推测他的情感状态为生气。
sample_00001455,高兴,温柔点，我开免提啊。,在视频中，他的嘴角上扬，眉毛抬起，笑得很开心，双手和身体也上下摇动，因此推测他的情感状态为高兴。
sample_00002212,悲伤,这样你能好过点，是吗？,在视频中，他的声音低沉，语速较慢，微微皱着眉头，好像说话都没什么力气了。因此，推测他的情感状态比较负面。
sample_00001097,惊讶,您这，摸什么呢？,在视频中，他眼光盯着某个方向，像是被什么东西吸引，并且通过询问对方在“摸什么”，表达了自己对对方行为的好奇。
sample_00006591,生气,,在视频中，从叹气声和擦眼角眼泪等线索中可以推断出他的情感状态比较负面，可能听到了某些不好的消息显得有些悲伤。
sample_00006481,高兴,我应该叫你的艺名。,在视频中，他语调上扬，表现浮夸，嘴角上扬，笑的时候出现酒窝。因此，推测他的情感状态为高兴。
sample_00004262,担忧,你，你没有受伤吧。,在视频中，他一开始说话比较结巴，表示他比较紧张。他询问“你没有受伤吧？”可以推测出他有点担心对方。他的声音温柔，语调平稳，两颊微微上扬，有点微笑，但结合其他线索感觉可能是紧张带来的礼貌性微笑。因此推测他的情感状态为紧张和担忧。
sample_00004264,高兴,,在视频中，他发出了笑声，嘴角上扬，笑的时候露出了牙齿和酒窝，因此推测他的情感状态为高兴。
sample_00005168,悲伤,有一天，我实在受不了了。,在视频中，通过“我实在受不了了”这个词语可以推测出，他因某件事反复发生，终于无法忍耐。他的声音低沉无力，语速较慢，中间停顿较长。他低着头，看着斜下方，眉头紧锁，很无力并带着些许难过。因此，推测他的情感状态为无力，悲伤，难过。
sample_00001189,惊讶,就之前那些事情呀，你就专门为这些事情，来跟我道歉呀。,在视频中，他觉得之前发生的事情无关紧要，但对方却因这件事情道歉，让他感到惊讶。因此，推测他的情感状态为惊讶。
sample_00001697,生气,啊。,在视频中，他对别人侮辱自己的行为，表现出不满和生气。因此推测他的情感状态为生气。
sample_00000907,悲伤,装三好女婿，从来都是媳妇骂我妈，我不敢骂她妈。买盆酱油，还怀疑你吃回扣。,在视频中，他对自己以及自己的家人不被媳妇儿尊重的处境，感到委屈和无奈。此外，视频中的灯光昏暗，显得氛围很压抑。因此，推测他的情感状态为悲伤、委屈和无奈。
sample_00003239,担忧,,在视频中，他的眉头紧皱、左手叉腰，右手正举着电话。同时，后面摆了一大堆女士包包，说明他可能遭遇了一些事情。因此，推测他的情感状态为担忧。
sample_00001411,生气,我跟你说了别再给我打电话，咱俩已经分手了，你别死皮赖脸老缠着我行不行？,视频中可以看出，他对对方纠缠自己的行为很生气。他的语速较快，比较激动。因此，推测他的情感状态为生气。
sample_00003774,高兴,来，你说巧不巧，就那一次，我就怀上了。,在视频中，他对怀孕的结果感到高兴和幸运。他的嘴角上扬，眉毛抬起，笑得很开心。根据背景环境可以看出，他们正在享用烛光晚宴，应该是有值得庆祝的事情。因此，推测他的情感状态为高兴。
sample_00000370,高兴,算了吧，在这些人眼里，我只是他们的赚钱机器。,在视频中，他对于别人把自己当作赚钱机器的处境，非常无奈。虽然他嘴角上扬看起来比较开心，但结合文本内容感觉到些许自嘲。因此，推测他的情感状态为无奈和自嘲。
sample_00007011,生气,我现在要回家，我可以走了吗？,在视频中，他皱着眉头，流露出些许不满。通过文本内容可以看出，他想要尽快离开，但又碍于对方的原因不能直接离开，而感到不耐烦和生气。因此，推测他的情感状态为生气。
sample_00006709,生气,可是你懂不懂自己为什么活着？你每次笑是为了什么？,在视频中，她不断质问对方，言语比较激动，语速较快，身体前倾，不断向下弯腰逼近对方。因此，推测他的情感状态为生气。
sample_00001453,高兴,看看，真是母女连心，什么事都想着干妈。,在视频中，通过“什么事都想着干妈”，表达了对对方总是为自己考虑的行为感到满意和高兴。他嘴角上扬，眉毛抬起，露出了酒窝，笑得很开心。因此，推测他的情感状态为高兴。
sample_00004446,生气,有钱怎么了？你们有钱，你们有钱就可以侮辱人哪。,在视频中，通过“有钱就可以侮辱人”可以推测，他因为受到了侮辱而感到生气。他语速较快，言语激动，音量很大，身体前倾，挥动手部并且幅度较大，可以看出情绪比较激动。因此，推测他的情感状态为生气。
sample_00004307,悲伤,我都不知道怎么跟你解释？这大概就是一个意外吧。,在视频中，因为发生了意外事件，他不知道如何向对方解释，有些发愁和无奈。他眉头紧锁，视频中部眼神想要回避对方。他穿着白大褂，有可能是和病人家属对话，告知对方一些不幸的事情。因此，推测他的情感状态为发愁、无奈。
sample_00006941,悲伤,你在哪儿我还能不知道？我是来向你道歉的。昨天晚上我真的失态了。对不起，好吗？,在视频中，他对自己的失态行为表现出愧疚和难过。他声音低沉，每句话尾音音调下降，同时皱着眉头，低头，抿嘴。因此推测他的情感状态为愧疚和难过。
sample_00002183,高兴,嘿，火候刚刚好啊。,在视频中，他很满意自己的火候控制，表现的比较高兴。他开头一个”嘿“字拖长并语调上扬，嘴角上扬，笑的时候出现酒窝，拿着汤勺兴奋地转向对方方向。因此，推测他的情感状态为高兴和兴奋。
sample_00003051,生气,再去看。,在视频中，他对对方反馈的结果非常不满意，让他再去重新看一遍。他语速较快，眉头紧锁，摇头动作幅度较大，看起来比较激动。因此，推测他的情感状态为不满、激动、生气。
sample_00005219,担忧,你现在过去，只会让家属的情绪更加失控，甚至全部迁怒于你。,在视频中，他担心对方的冲动行为会引起当事人家属的情绪失控，因此语重心长地对其进行劝说。他的眉头微皱，声音有力，背景音中还有家属的哭喊声。因此推测，他的情感状态为担忧。
sample_00006275,生气,这辈子我最爱的就是这个女人，我的理想就是娶她为妻，你能不能够饶了我？,在视频中，他通过说“你能不能够饶了我？”，表达了自己已经被逼到绝路的愤怒。他的言语非常激动，视频后半段更是抬高了音量、加快了语速，发出怒吼，表达了不满。他的表情也非常激动，眉头紧锁，视频最后面目狰狞。因此，推测他的情感状态为生气。
sample_00002684,高兴,都用奇怪的眼光看着我，以为我们两个人之间有什么关系。那天我不停地给你递纸巾，你对我说谢谢，好记得吗？,在视频中，他回忆起与心爱之人初次见面时的美好时光。他的声音十分温柔，语调上扬，嘴角上扬，眉毛抬起，微笑着，深情地望着对方，背景音乐温和舒缓，说明他的情绪是积极的。因此，推测他的情感状态为高兴。
sample_00004053,高兴,原来这两个人是郎情妾意呀。,在视频中，他突然反应过来，明白了两人是郎情妾意，有些意外和开心。他的声音轻快，语调上扬，嘴角上扬，面带微笑。因此，推测他的情感状态为高兴和惊喜。
sample_00001039,生气,那你也等会儿吧，没工夫给你挪车，我这儿忙着呢我。,在视频中，通过“没工夫给你挪车”，可以推测出他对对方让自己挪车的行为感到很不耐烦，懒得和对方纠缠。他的语速较快，言语比较激动，最后头转过去不想理会对方。因此，推测他的情感状态为生气。
sample_00000361,担忧,男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。,在视频中，他对男人对待感情的心理颇有心得，有点小得意。同时提醒对方提高警惕，防止最后受到感情的创伤，表现出些许担忧。因此，推测他的情感状态为得意、担忧。
sample_00005079,高兴,,在视频中，他的嘴角上扬，露出酒窝，因此，推测他的情感状态为高兴。
sample_00002298,生气,那是我一分钱一分钱修车攒出来的。我问你，我让你少吃过一顿肉吗？,在视频中，他对别人不珍惜他辛苦赚的钱，表现出不满和生气。他的语速较快，音量很高，言语比较激动，敲击桌子，表现的非常激动。因此，推测他的情感状态为不满、生气、激动。
sample_00004485,生气,你让我把王博推给家属去道歉，这歉怎么道？,在视频中，他通过质问对方，表达了对对方无理建议的生气。他眉头紧皱，因此推测他的情感状态比较负面。因此，推测他的情感状态为生气。
sample_00002253,生气,再说了，我手里没点现钱，我怎么去他们家？,在视频中，他被要求不带任何东西去别人家里，表达了不满和生气，并以反问的方式为自己的行为辩护。他的语速较快，重读“再说了”，表达了不满。因此，推测他的情感状态为不满和生气。
sample_00002449,高兴,,在视频中，他发出笑声，嘴角上扬，露出牙齿，笑得很开心，最后眼睛也情不自禁地闭上了。因此推测他的情感状态为高兴。
sample_00006742,生气,你说，你为什么推我？,在视频中，他对对方推自己的行为感到生气。他的言语激动，音量很高，语速很快，后半段甚至发出怒吼。他狠狠地盯着对方，眉头紧皱，视频后半段面目狰狞，并用手指着对方，表现的非常激动。因此，推测他的情感状态为生气。
sample_00003575,生气,算了，反正你也完成任务了，走吧你，再见。,在视频中，他想让对方赶紧离开，推测可能是对方之前的行为让他非常不满和生气。
sample_00005749,担忧,但是我在香港没有亲戚朋友。,在视频中，他对自己没有亲戚、朋友在香港的状况感到担忧。他眉头紧皱，同时揉搓着太阳穴，看起来这件事让他很伤脑筋。因此，推测他的情感状态为担忧。
sample_00000877,担忧,手术顺利吗？,在视频中，他担心手术顺利与否。因此，推测他的情感状态为担心。
sample_00005942,高兴,成，那我一会儿看见他啊，我就告诉他。要不，您别在这儿等了，我们这儿啊，挺乱的，您先去，也别让叔叔呢等时间太长喽。,在视频中，他的声音比较轻快，语调上扬，嘴角上扬，面带微笑，看起来挺高兴的。但随后他说：“我们这儿啊，挺乱的，您先去，也别让叔叔呢等时间太长。”表达让叔叔等太久的担心。因此，推测他一开始挺高兴的，而后流露出些许担忧。
sample_00002244,生气,如果没有一种信念，我怎么能熬的过来？,在视频中，他通过反问的方式，表明了自己正是因为有十足的信念才熬过来了，表达了对对方不理解自己的行为非常生气。他的音量较高，语速较快，言语有些激动，眉头皱起，眼眶微微泛红，结合文本线索，可能是因为对方不理解自己，他感到失望、难过和生气。
sample_00006914,生气,哎，我这是在家啊。我还穿什么周武郑王的，我连孩子的房间都不能进么？,在视频中，他通过反问“我连孩子的房间都不能进么？”表达了自己被限制进入孩子房间的不满和生气。因此，推测他的情感状态为不满、生气。
sample_00006884,生气,不管我走到哪儿，看到的都是笑脸，听到的都是好话，就这么一夜之间，所有人见了我都怪模怪样的。我这心里能好受吗？,在视频中，他对于自己一夜之间经历的天壤之别的待遇十分郁闷和生气。他的语速较快，言语比较激动，最后有叹气声。因此，推测他的情感状态为郁闷和生气。
sample_00006689,生气,我不管你是谁，你只要敢欺负我弟弟我就剁了你。,在视频中，他通过“剁了你”向对方发出了严重警告，可以推测出他非常生气。他语速较快，眉头紧锁，表情严肃，最后强调了“剁”，露出了杀气。因此，推测他的情感状态为生气。
sample_00000153,高兴,白总监，你也关注这件事啊！,在视频中，他嘴角上扬，笑起来露出牙齿和酒窝，看起来比较高兴。通过“你也关注这件事啊！”，看出他对于对方也关注这件事情表现的有些惊讶。因此，推测他的情感状态为高兴、惊讶。
